"","Date","AppleClose","AppleDailyReturnsPS","AppleDailyTotalReturns","BMRCClose","BMRCDailyReturnsPS","BMRCDailyTotalReturns","MicrosoftClose","MicrosoftDailyReturnsPS","MicrosoftDailyTotalReturns","OracleClose","OracleDailyReturnsPS","OracleDailyTotalReturns","IBMClose","IBMDailyReturnsPS","IBMDailyTotalReturns","TotalDailyReturns","TotalReturns"
"30","2018-11-09",51.1175,-1.005001,-32.160032,41.900002,-1,-100,109.57,-2.18000000000001,-763.000000000002,50.610001,-0.18,-37.8,118.107079,-0.152969999999996,-22.9454999999994,-955.905532000002,2230.245182
"31","2018-11-12",48.5425,-2.575,-82.4000000000001,41.935001,0.0349989999999991,3.49989999999991,106.870003,-2.699997,-944.998949999999,49.220001,1.39,291.9,115.583176,2.523903,378.585450000001,-353.413599999998,1876.831582
"32","2018-11-13",48.057499,-0.485000999999997,-15.5200319999999,42.049999,0.114998,11.4998,106.940002,0.0699990000000099,24.4996500000035,49.509998,-0.29,-60.9,115.52581,0.0573659999999876,8.60489999999814,-31.8156819999983,1845.0159
"33","2018-11-14",46.700001,-1.357498,-43.439936,41.549999,-0.5,-50,104.970001,-1.97000100000001,-689.500350000004,48.84,0.67,140.7,114.913956,0.611854000000008,91.7781000000012,-550.462186000002,1294.553714
"34","2018-11-15",47.852501,1.1525,36.8799999999999,42.195,0.645001000000001,64.5001000000001,107.279999,2.30999800000001,808.499300000003,50.630001,-1.79,-375.9,116.099426,-1.18547,-177.820499999999,356.158900000003,1650.712614
"35","2018-11-16",48.3825,0.529999000000004,16.9599680000001,42.514999,0.319999000000003,31.9999000000003,108.290001,1.010002,353.5007,51.169998,-0.54,-113.4,116.223709,-0.124283000000005,-18.6424500000008,270.418118,1921.130732
"36","2018-11-19",46.465,-1.9175,-61.3599999999999,41.615002,-0.899997000000006,-89.9997000000006,104.620003,-3.66999800000001,-1284.4993,49.549999,1.62,340.2,115.019119,1.20459,180.688499999999,-914.970500000004,1006.160232
"37","2018-11-20",44.244999,-2.220001,-71.0400320000001,40.5,-1.115002,-111.5002,101.709999,-2.910004,-1018.5014,48.330002,1.22,256.2,112.045891,2.97322800000001,445.984200000001,-498.857431999999,507.302799999999
"38","2018-11-21",44.195,-0.0499989999999997,-1.59996799999999,40.665001,0.165000999999997,16.5000999999997,103.110001,1.400002,490.0007,48.619999,-0.29,-60.9,113.355644,-1.309753,-196.46295,247.537882,754.840681999999
"39","2018-11-23",43.072498,-1.122502,-35.9200639999999,41.950001,1.285,128.5,103.07,-0.0400010000000037,-14.0003500000013,48.700001,-0.08,-16.8,112.036331,1.31931299999999,197.896949999999,259.676535999998,1014.517218
"40","2018-11-26",43.654999,0.582500999999993,18.6400319999998,41.990002,0.0400009999999966,4.00009999999966,106.470001,3.400001,1190.00035,48.259998,0.44,92.4,114.302101,-2.26576999999999,-339.865499999998,965.174982000002,1979.6922
"41","2018-11-27",43.560001,-0.0949979999999968,-3.0399359999999,41.145,-0.845001999999994,-84.5001999999994,107.139999,0.669998000000007,234.499300000002,47.439999,0.82,172.2,114.751434,-0.44933300000001,-67.3999500000015,251.759214000002,2231.451414
"42","2018-11-28",45.235001,1.675,53.5999999999999,42.799999,1.654999,165.4999,111.120003,3.98000399999999,1393.0014,48.189999,-0.75,-157.5,117.59082,-2.83938599999999,-425.907899999999,1028.6934,3260.144814
"43","2018-11-29",44.887501,-0.347499999999997,-11.1199999999999,42.580002,-0.219996999999999,-21.9996999999999,110.190002,-0.93000099999999,-325.500349999997,47.900002,0.29,60.9,116.137665,1.453155,217.973249999999,-79.746799999997,3180.398014
"44","2018-11-30",44.645,-0.242500999999997,-7.76003199999991,42.689999,0.109997,10.9997,110.889999,0.699996999999996,244.998949999999,48.759998,-0.86,-180.6,118.80497,-2.667305,-400.09575,-332.457132000001,2847.940882
"45","2018-12-03",46.205002,1.560002,49.9200639999999,42.700001,0.0100020000000001,1.00020000000001,112.089996,1.199997,419.998949999999,49.830002,-1.07,-224.7,119.799232,-0.994262000000006,-149.139300000001,97.0799139999977,2945.020796
